,symbol,date,enterpriseValue
10155,KARD.AS,2019-12-31,-25611000.0
10156,KARDA.NS,2019-09-30,11785664184.5
10157,KARMAENG.NS,2019-09-30,821721020.0
10158,KARN.SW,2019-12-31,-133600000.0
10159,KARURVYSYA.NS,2019-09-30,-6311377192.5
10160,KAT.AX,2019-06-30,23482218.44
10161,KAT.L,2019-12-31,-27972.0
10162,KAUSHALYA.NS,2019-09-30,17544000.0
10163,KAV.L,2019-12-31,-124294.0
10164,KAY.L,2019-12-31,-9867000.0
10165,KAYA.NS,2019-09-30,5368940821.515454
10166,KAYS,2019-12-31,162919546.67999998
10167,KAZ.L,2019-12-31,2214000000.0
10168,KAZI.PA,2019-08-31,194066000.0
10169,KAZT.ME,2019-12-31,46457462132.0
10170,KB,2019-12-31,-16622522420.25
10171,KBAL,2019-12-31,691863070.0000001
10172,KBC.AX,2019-06-30,17350555.597
10173,KBC.BR,2019-12-31,20132500000.0
10174,KBCA.BR,2019-12-31,-77532000.0
10175,KBH,2019-11-30,4374967178.2
10176,KBL.TO,2019-12-31,501352979.15
10177,KBLB,2019-12-31,160587754.3
10178,KBLM,2019-09-30,86935394.5
10179,KBLMU,2019-12-31,46899616.5
10180,KBLMW,2019-12-31,242089.10000000003
10181,KBPH,2019-12-31,11546801.499999998
10182,KBR,2019-12-31,4841484014.0
10183,KBRS,2018-06-30,1150879129.6
10184,KBSB.ME,2019-12-31,2598741924.0
10185,KBSF,2019-12-31,-14560769.8
10186,KBT.L,2019-11-30,-1964000.0
10187,KBTK.ME,2019-12-31,15625000600.0
10188,KBX.DE,2019-12-31,12877094743.75
10189,KBX.SW,2019-12-31,12982350428.86265
10190,KC4.DE,2019-12-31,11185961711.68
10191,KCAP,2018-12-31,100400189.0
10192,KCHE.ME,2019-12-31,7044000000.0
10193,KCN.AX,2019-06-30,31453003.800000004
10194,KCO.DE,2019-12-31,863287600.0
10195,KCP.NS,2019-09-30,13399730733.013924
10196,KCPSUGIND.NS,2019-09-30,3387695689.55
10197,KCR.L,2019-12-31,-24218.0
10198,KCT.L,2020-01-31,18229191000.0
10199,KDCE,2019-12-31,123230330.9881
10200,KDDL.NS,2019-09-30,5000089345.747368
10201,KDMN,2019-12-31,512829917.06000006
10202,KDNC.L,2019-12-31,-1375000.0
10203,KDOZF,2019-12-31,127640279582.0
10204,KDP,2019-12-31,53828756406.9
10205,KDR.L,2019-11-30,72761.0
10206,KDS.AS,2019-12-31,-28547000.0
10207,KE,2019-12-31,510311824.753
10208,KEC.NS,2019-09-30,70057288899.92052
10209,KECL.NS,2019-09-30,1115440826.5
10210,KEFI.L,2019-12-31,-60000.0
10211,KEG,2019-09-30,250710020.0
10212,KEGX,2019-12-31,248945000.0
10213,KEI.NS,2019-09-30,41740818048.579445
10214,KEL.TO,2019-12-31,1290597620.0
10215,KELLTONTEC.NS,2019-09-30,3328472438.982468
10216,KELYA,2019-12-29,856819960.6
10217,KELYB,2019-12-29,889198039.0999999
10218,KEM,2019-12-31,1686122450.0
10219,KEN,2019-12-31,1615588516.0
10220,KENDR.AS,2019-12-31,335027282.25
10221,KENNAMET.NS,2019-12-31,21494996854.72146
10222,KEP,2019-12-31,-63185496573618.016
10223,KEQU,2020-01-31,35003000.0
10224,KER.PA,2019-12-31,874700000.0
10225,KER.TO,2019-12-31,54408325.05
10226,KERN,2019-12-31,73601550.96
10227,KERNEX.NS,2019-09-30,218944206.19715703
10228,KERX,2018-09-30,356233255.82
10229,KESORAMIND.NS,2019-09-30,28285168143.705368
10230,KETL.L,2019-12-31,26342000.0
10231,KEX,2019-12-31,6698834470.0
10232,KEY,2019-12-31,32084628000.0
10233,KEY.AX,2019-06-30,5232925.108
10234,KEY.PA,2019-12-31,7797000.0
10235,KEY.TO,2019-12-31,10148356460.0
10236,KEYFINSERV.NS,2019-09-30,152904706.786873
10237,KEYS,2020-01-31,17579120000.0
10238,KEYS.L,2020-01-31,18134499194.0
10239,KEYW,2019-03-31,467873519.99999994
10240,KEYW.BR,2019-12-31,20224348.400000002
10241,KFE.AX,2019-06-30,41239382.6
10242,KFFB,2019-12-31,110739226.25
10243,KFI1.DE,2020-01-31,4910370000.0
10244,KFRC,2019-12-31,955291522.925
10245,KFS,2019-12-31,285721760.0
10246,KFY,2020-01-31,2043157020.0
10247,KG.SW,2019-12-31,5917270000.0
10248,KGC,2019-12-31,7563368240.0
10249,KGD.AX,2019-12-31,-19812.0
10250,KGF.L,2020-01-31,428535000000.0
10251,KGH.L,2019-10-31,17084000.0
10252,KGJI,2019-09-30,2202407881.0
