,date,symbol,enterpriseValue
2,2020-06-30,PG,322898999945.64996
3,2020-03-31,PG,299635391290.0
4,2019-12-31,PG,332485304974.0
5,2019-09-30,PG,331656512488.0
0,2020-09-30,GSM,374789870.0
1,2020-06-30,GSM,450060000.0
2,2020-03-31,GSM,471147540.0
3,2019-12-31,GSM,569610062.8
4,2019-09-30,GSM,547227990.0
5,2019-06-30,GSM,473109710.0
0,2019-03-31,HK,723261000.0
1,2018-12-31,HK,566239000.0
2,2018-09-30,HK,667589000.0
3,2018-06-30,HK,516483000.0
4,2018-03-31,HK,229980000.0
5,2017-12-31,HK,-14903000.0
0,2019-12-31,BBD,-101800999000.0
1,2019-06-30,BBD,-81574698054760.31
2,2019-03-31,BBD,107527571023.3948
3,2018-12-31,BBD,-107209743000.0
4,2018-09-30,BBD,0.0
5,2018-06-30,BBD,96081584832.3
0,2020-12-31,PFE,208175175557.0
1,2020-09-27,PFE,247347848112.0
2,2020-06-28,PFE,234338736679.0
3,2020-03-29,PFE,223781693052.0
4,2019-12-31,PFE,256590761660.0
5,2019-09-29,PFE,240014800416.00003
0,2020-09-30,JD,66568414268.15199
1,2020-06-30,JD,43443918020.0
2,2020-05-15,JD,-54951101000.0
3,2020-03-31,JD,41469259250.0
4,2019-12-31,JD,24573551669.999992
5,2019-11-18,JD,-236598173999.99997
0,2020-12-31,NOK,20600280330.0
1,2020-09-30,NOK,20876097800.0
2,2020-06-30,NOK,23534874400.000004
3,2020-03-31,NOK,16221224700.0
4,2019-12-31,NOK,19161108510.0
5,2019-09-31-01,NOK,-416000000.0
0,2020-12-31,TWTR,44481984937.578
1,2020-09-30,TWTR,36447687500.0
2,2020-06-30,TWTR,23727131110.0
3,2020-03-31,TWTR,19108626280.0
4,2019-12-31,TWTR,25601254349.999996
5,2019-09-30,TWTR,31764347800.000004
0,2020-10-31,AVGO,180987862110.0
1,2020-08-02,AVGO,169931064642.0
2,2020-07-31,AVGO,161077124375.0
3,2020-05-03,AVGO,144140236900.0
4,2020-04-30,AVGO,145303318950.0125
