,symbol,date,returnOnCapitalEmployed
5,VALE,2014-12-31,0.013802849448508172
0,MS,2020-12-31,
1,MS,2019-12-31,0.041218049719887954
2,MS,2018-12-31,0.04163270447708108
3,MS,2017-12-31,0.03853348297792742
4,MS,2016-12-31,0.03674037163915706
5,MS,2015-12-31,0.0371041712164228
0,AKS,2019-12-31,0.019602844112064814
1,AKS,2018-12-31,0.07023707596468956
2,AKS,2017-12-31,0.046836317577292876
3,AKS,2016-12-31,0.010187024947172548
4,AKS,2015-12-31,-0.12584653823394043
5,AKS,2014-12-31,-0.00712973965647618
0,JPM,2019-12-31,0.08057659886981122
1,JPM,2018-12-31,0.07569269848815142
2,JPM,2017-12-31,0.0665094400794408
3,JPM,2016-12-31,0.06285729886155778
4,JPM,2015-12-31,0.05725592289789342
5,JPM,2014-12-31,0.0585418381964272
0,ORCL,2020-05-31,0.12279362364868991
1,ORCL,2019-05-31,0.13619156518167386
2,ORCL,2018-05-31,0.10918191904733672
3,ORCL,2017-05-31,0.10393184915127286
4,ORCL,2016-05-31,0.12047761445478668
5,ORCL,2015-05-31,0.13423001296908338
0,NKE,2020-05-31,0.12520600225518258
1,NKE,2019-05-31,0.3028830988581162
2,NKE,2018-05-31,0.26218477206595536
3,NKE,2017-05-31,0.2747258926061288
4,NKE,2016-05-31,0.2882528993640105
5,NKE,2015-05-31,0.2754487095506354
0,PG,2020-06-30,0.18049792531120332
1,PG,2019-06-30,0.07132950966104086
2,PG,2018-06-30,0.147946665482442
3,PG,2017-06-30,0.1469799104173134
4,PG,2016-06-30,0.13873150281219518
5,PG,2015-06-30,0.11881049094829747
0,GSM,2019-12-31,-0.30804041600842547
1,GSM,2018-12-31,0.02189150264042247
2,GSM,2017-12-31,-0.009675103108845394
3,GSM,2016-12-31,-0.291055585277316
4,GSM,2015-12-31,-0.00449308470544485
5,GSM,2014-12-31,0.08101616164513215
0,HK,2018-12-31,0.09613828636424893
1,HK,2017-12-31,0.40299273079151
2,HK,2016-12-31,-0.09371945577668536
3,HK,2015-12-31,-0.03294731944045793
4,HK,2014-12-31,-0.2980657244023059
0,BBD,2019-12-31,0.009234561992715414
1,BBD,2018-12-31,0.0
2,BBD,2017-12-31,0.06684516549225294
3,BBD,2016-12-31,0.09755087885841904
4,BBD,2015-12-31,0.03482930294729372
5,BBD,2014-12-31,0.06874596236241093
0,PFE,2020-12-31,0.0
1,PFE,2019-12-31,0.13582209932019818
2,PFE,2018-12-31,0.09316891913078926
3,PFE,2017-12-31,0.08704109782839357
4,PFE,2016-12-31,0.059437722419928826
5,PFE,2015-12-31,0.06493506493506493
0,JD,2019-12-31,0.11438402315432965
1,JD,2018-12-31,-0.026881105366914463
2,JD,2017-12-31,0.0018381764912332157
3,JD,2016-12-31,-0.05813469609550096
4,JD,2015-12-31,-0.2601699943861346
5,JD,2014-12-31,-0.13272774833966774
0,NOK,2020-12-31,0.03401166347212593
1,NOK,2019-12-31,0.005762198500350903
2,NOK,2018-12-31,-0.014165978042734034
3,NOK,2017-12-31,-0.018033946251768036
4,NOK,2016-12-31,-0.042389150359177605
5,NOK,2015-12-31,0.10595115239078087
0,TWTR,2020-12-31,-0.004458062582835475
1,TWTR,2019-12-31,0.03286512166334637
2,TWTR,2018-12-31,0.04898579860126823
3,TWTR,2017-12-31,-0.013972063195112632
4,TWTR,2016-12-31,-0.07012565650241222
5,TWTR,2015-12-31,-0.08983643285492891
0,AVGO,2020-10-31,0.03511974928840459
1,AVGO,2019-11-03,0.03673631052579463
